BaseCourseNo,Slot,CourseName,NewCredit,OfferedforBTechDD,AllocationType,InstructorName,Prerequisite
HS5650,A ,Drama,10,Yes,SI,AYSHA IQBAL,
HS5703,A ,Statistical Inference,10,Yes,SI,Santosh Kumar Sahu,Nil
HS5706,A ,Microeconomics 2,10,No,,PARAS SACHDEVA,Microeconomics 1
HS5710,A ,Econometrics 2,10,Yes,SI,SABUJ KUMAR MANDAL,Econometrics 1
ID5843W,A ,Experimental Techniques for Quantum Computation and Metrology,9,No,,Vidya Praveen Bhallamudi,
ID6102,A ,Principles and techniques of Transmission Electron Microscopy,9,No,,SANKARAN S; SUDAKAR CHANDRAN,
MA2010,A ,Complex Variables,9,Yes,SI,ARIJIT DEV,
MA2020,A ,Differential Equations,9,Yes,SI,BIDHAN CHANDRA SARDAR; SATYAJIT ROY; VENKATA BALAJI T E,
MA2031,A ,Linear Algebra for Engineers,9,No,,BALAJI R,MA1020
MA2031,A ,Linear Algebra for Engineers,9,Yes,SI,ARINDAMA SINGH; P Aprameyan; SOUMEN SARKAR; UMA V,MA1020
MA2040,A ,"Probability, Statistics and Stochastic Process",9,Yes,SI,G. ARUNKUMAR; RAKHI SINGH; SRINIVASA RAO MANAM; SUBHAJIT GHOSH; Santanu Sarkar; VETRIVEL V,
MA2101,A ,Linear Algebra via Matrices,9,Yes,SI,ARINDAMA SINGH; JAYANTHAN A V; Priyanka Shukla; SANYASIRAJU Y V S S; SOUNAKA MISHRA; Sumesh K,
MA2102,A ,Differential Equations,9,Yes,SI,SARANG SHARAD SANE; SATYAJIT ROY; SRINIVASA RAO C H; SURJIT KUMAR; VENKATA BALAJI T E,Partial derivatives and Series
MA2103,A ,"Probability, Stochastic Processes & Statistics",9,Yes,SI,Dipramit; SRINIVASA RAO MANAM; SUBHAJIT GHOSH; Santanu Sarkar; VETRIVEL V,
MA2104,A ,Complex Analysis,6,Yes,SI,ARIJIT DEV,Partial derivatives
MA5330,A ,Real Analysis,9,Yes,SI,ANWOY MAITRA; SATHISH KUMAR A,"Knowledge of sequences and series of complex numbers, continuity and differentiability of a real variable"
MA5470,A ,Numerical Analysis,9,Yes,SI,SANYASIRAJU Y V S S,
MA5910,A ,Data Structures and Algorithms,12,Yes,SI,SOUNAKA MISHRA,NIL
MA6080,A ,Fourier Analysis,9,Yes,SI,RADHA R,"MA5330 Real Analysis, MA5340 Measure and Integration and MA5360 Complex Analysis."
MA6150,A ,Basic Operator Theory,9,Yes,SI,SURJIT KUMAR,NIL
MA6270,A ,Numerical Solutions of Partial Diff. Equations,9,Yes,SI,SATYAJIT ROY,NIL
MD1001,A ,Mechanics for Medical Scientists,9,No,,SRIKANTH VEDANTAM,
MD1001,A ,Mechanics for Medical Scientists,9,Yes,SI,SRIKANTH VEDANTAM,
MD2005,A ,"Medical Microbiology, Immunology and Pathology",12,Yes,SI,ANUBAMA RAJAN,
MD2006,A ,Medical Genetics,9,No,,ANUBAMA RAJAN,
MD2006,A ,Medical Genetics,9,Yes,SI,SANJUKTA PATRA,
MD3004,A ,"Physiology of the Sensory System – Vision, Smell, Taste and Hearing",11,No,,BOBY  GEORGE,
MD4002,A ,Introduction to Endocrinology,6,Yes,SI,KRISHNAKUMAR R,
ME1100,A ,Thermodynamics,10,No,,ANAND K; DHIMAN CHATTERJEE; RAMESH A; SATEESH GEDUPUDI; SRINIVASAN K; VENKATARATHNAM G,Nil
ME3301,A ,Manufacturing Technology,10,Yes,CG,AMITAVA GHOSH; ANIL KUMAR MEENA; SIVASRINIVASU DEVADULA,
ME3302,A ,Automation in manufacturing,10,Yes,CG,ANUJ KUMAR TIWARI; RAMESH BABU N; SOMASHEKHAR S,
ME5103,A ,Incompressible Fluid Flow ,9,No,,ASHIS KUMAR SEN; BABU VISWANATHAN,COT
ME5109,A ,Measurement in Thermal Engg,10,Yes,CG,SRIKRISHNA SAHU,NIL
ME5201,A ,Computational Methods in Engg,10,No,,RAUSHAN SINGH; Sundararajan Natarajan,NIL
ME5309,A ,Mechatronics Systems for Manufacturing,9,Yes,CG,MANIVANNAN P V,
ME6222,A ,Design of Mechanical Transmission systems,9,No,,RAMKUMAR P,COT
ME6334,A ,Advanced Sheet Metal Forming,9,Yes,CG,SUSHANTA KUMAR PANIGRAHI,
MM3010,A ,Physics of Materials,9,No,,TIJU THOMAS,
MM3020,A ,Iron Making and Steel Making,12,No,,AJAY KUMAR SHUKLA,
MM5001,A ,Composite Materials,9,No,,BALASUBRAMANIAN M,COT
MM5001,A ,Composite Materials,9,Yes,ST,BALASUBRAMANIAN M,COT
MM5014,A ,Physical Foundations of Materials Science,9,No,,SUBRAMANYA SARMA V,
MM5630,A ,Plasticity & Plastic Deformation,9,Yes,ST,BHATTACHARYA S S,NIL
MM5640,A ,Sheet Metal Forming,9,Yes,CG,UDAY CHAKKINGAL,COT
OE1012,A ,Ship Hydrostatics and Stability,9,Yes,SI,ARJUN JAGANNATHAN,
OE3035,A ,Motion of Ships & Floating Systems,11,Yes,SI,SRIRAM V; SURESH,
OE3046,A ,Ship Structural Design,10,Yes,SI,SURESH,
OE5545,A ,Marine Geotechnical Engineering,9,Yes,SI,BITHIN GHORAI,
OE6007,A ,Pipeline & Riser Engineering,9,No,,PANNEER SELVAM R; VIJAY K G,Consent of teacher
OE6200,A ,Design of Fixed Offshore Structures,10,Yes,SI,BITHIN GHORAI; NALLAYARASU S,Nil
PE6030,A ,Reservoir Engineering,9,No,,SURESH KUMAR G,
PE6312,A ,Enhanced Oil Recovery,9,No,,SURESH KUMAR G,Reservoir Engineering
PH5100,A ,Quantum Mechanics- I,10,Yes,SI,ASHWIN JOY; SUNETHRA RAMANAN,NUL
PH5250,A ,Advanced Electronics & Lab,12,Yes,SI,PRAFULLA KUMAR BEHERA,
PH5410,A ,Atomic and Molecular Physics,10,Yes,SI,PATTABIRAMAN M,
PH5720,A ,Numerical Methods and Programming Lab,12,Yes,SI,SAMIR CHOUDHURI,
PH7080,A ,Foundations in Theoretical Physics,12,No,,NEELIMA M GUPTE; PRASANTA KUMAR TRIPATHY; SATYANARAYANA MV; SRIRAMKUMAR L,
AM1010,A1,Introduction to Physiology for Engineers  ,9,No,,ARUN KUMAR THITTAI; RAGHAVENDRA SAI V V; SAUMENDRA KUMAR BAJPAI; SUJATHA N,
CE1010,A1,Introduction to Civil Engineering Profession,8,Yes,SI,KOSHY VARGHESE; RAVINDRA GETTU,
CV1020,A1,Solid and Fluid Mechanics,12,Yes,SI,ALAGAPPAN; SARAVANAN U; SOUMENDRA NATH KUIRY; VENU CHANDRA,"Vector calculus and numerical
methods"
DA1000,A1,Calculus for Engineers,9,No,,BALAJI SRINIVASAN,
DA1000,A1,Calculus for Engineers,9,Yes,CG,Sivaram Ambikasaran,
EE1102,A1,Introduction to Programming,11,No,,GANTI RADHA KRISHNAN,
EE1103,A1,Numerical Methods,11,No,,ANIL PRABHAKAR,
MA2010,A1,Complex Variables,9,Yes,SI,ANWOY MAITRA,
MA2020,A1,Differential Equations,9,Yes,SI,ANOOP; SARANG SHARAD SANE; SHRUTI DUBEY; SRINIVASA RAO C H,
MA2031,A1,Linear Algebra for Engineers,9,Yes,SI,JAYANTHAN A V; Priyanka Shukla; UMA V,MA1020
MA2040,A1,"Probability, Statistics and Stochastic Process",9,Yes,SI,Dipramit; SHAIJU A J; SRINIVASA RAO MANAM; VETRIVEL V,
MA2130,A1,Basic Graph Theory,9,Yes,SI,KALPANA M,
ME1100,A1,Thermodynamics,10,Yes,CG,ANAND K; Mayank Mittal; SRINIVASAN K; VARUNKUMAR S; VENKATARATHNAM G,Nil
CE1010,A2,Introduction to Civil Engineering Profession,8,Yes,SI,KOSHY VARGHESE; RAVINDRA GETTU,
AM5009,B ,Life of Ubiquitous Materials: From Science to Behaviour,9,Yes,SI,KUNDANATI LAKSHMINATH; S GANGA PRASATH,
AM5050,B ,Biomedical Sensors and Measurements,9,No,,RAGHAVENDRA SAI V V,COT
AM5119,B ,Physiology for Engineers,9,Yes,SI,SWATHI SUDHAKAR,
AM5240,B ,Experimental Solid Mechanics,9,Yes,SI,RAMESH K,COT
AM5390,B ,Advanced Solid Mechanics,9,Yes,SI,SHUVRANGSU DAS,
AM5600,B ,Computational Methods in Mechanics,9,Yes,ST,ABHIJIT CHAUDHURI,
AS1020*,B ,Fluid Mechanics,11,Yes,CG,SHANKAR GHOSH,
AS1300,B ,Thermodynamics for Aerospace Engineering,11,Yes,CG,AMIT KUMAR,
AS1300*,B ,Thermodynamics for Aerospace Engineering,11,Yes,CG,Nagabhushana Rao ,
AS2010,B ,Basic Strength of Materials,11,Yes,CG,BHASKAR K; SIVASAMBU MAHESH,
AS2030*,B ,Gas Dynamics,11,Yes,CG,SAMEEN A,
AS2050*,B ,Aerodynamics,11,Yes,CG,Manikandan M S,
AS2070,B ,Aerospace Structural Mechanics,10,Yes,CG,NIDISH NARAYANA BALAJI,AS2010: Basic Strength of Materials
AS3270,B ,Propulsion I,10,Yes,CG,MURUGANANDAM T M; PRAVENDRA KUMAR,
AS5010,B ,Aerodynamics and Aircraft Performance,9,No,,SUNETRA  SARKAR,
AS5330,B ,Computational Aerodynamics,9,Yes,CG,SANTANU GHOSH,
AS5370,B ,Helicopter Aerodynamics,9,Yes,CG,RANJITH MOHAN,
BT1010,B ,Life Sciences,9,No,,KARUNAGARAN D; KESAVAN V; MANOJ N; NINITHA A J; Nathiya; SANJUKTA PATRA; SURESH KUMAR RAYALA,
BT1010,B ,Life Sciences,9,Yes,ST,MAHALINGAM S; SANTHOSH; THOMAS PAULRAJ,
BT2010,B ,Microbiology,9,No,,ARUMUGAM,
BT2011,B ,Microbiology and Biochemistry,9,Yes,ST,T.R. PRABHA,
BT2020,B ,Numerical methods for biology,11,Yes,ST,SANJIB SENAPATI,
BT3011,B ,Molecular Biology and Genetic Engineering,9,Yes,ST,MAMATA BHASKARA BANGERA,
BT3020,B ,Structural Biology,9,Yes,CG,MANOJ N,BT1010
BT5071,B ,Bioreactor Design and Analysis,10,Yes,ST,SATHYANARAYANA N GUMMADI,
BT5370,B ,Fermentation Technology,9,Yes,ST,SATHYANARAYANA N GUMMADI,
BT5420,B ,Computer Simulations of Biomolecular Systems,9,Yes,ST,HAMSA PRIYA MOHANA SUNDARAM,COT
BT5520,B ,Biorefineries,9,Yes,ST,KRITHIKA RAVI,Basic understanding of chemical and biological processes
CE2040,B ,Hydraulic Engineering,11,Yes,SI,SOUMENDRA NATH KUIRY; VENU CHANDRA,
CE2060,B ,Geotechnical Engineering I,11,Yes,SI,SUBHADEEP BANERJEE; Tarun Naskar,
CE3050,B ,Basic Design of Steel Structures,11,Yes,SI,NAGESWARA RAO B; RAGHUKANTH S T G,
CE3320,B ,Design of steel structural systems,9,Yes,SI,SATHISH KUMAR S R,CE3050 Basic Structural Steel Design or CoT
CE5011,B ,Design of Masonry Structures,9,Yes,SI,ARUN MENON,NIL
CE5016,B ,Sustainability in River Basin Management,9,Yes,SI,SOUMENDRA NATH KUIRY,
CE5110,B ,Building Services,11,Yes,SI,RAMAMURTHY K,Nil
CE5115,B ,Admixtures and Special Concretes,9,Yes,SI,MANU SANTHANAM; RAVINDRA GETTU,UG course in Concrete Technology
CE5180,B ,Air Pollution and Control Engineering,12,Yes,SI,SHIVA NAGENDRA S M,B.Tech/DD- CE3040 or CE4810
CE5330,B ,Advanced Foundation Engineering,10,Yes,SI,SUBHADEEP BANERJEE,"CE 2060, CE 3350"
CE5340,B ,Finite Element Method: Concepts and Applications in Geomechanics,12,Yes,SI,Chandra Annavarapu,NIL
CE5460,B ,Ground Water Engineering,12,Yes,SI,Venkatraman,NIL
CE5630,B ,Advanced theory and design of concrete structures,10,Yes,SI,APPARAO G,CE3060 or equivalent
CE5730,B ,Probability Methods in Civil Engg,9,Yes,SI,MEHER PRASAD A,NIL
CE5800,B ,Pavement Analysis and Design,9,Yes,SI,MURALI KRISHNAN J,NIL
CE5810,B ,Urban Transportation Planning,9,Yes,SI,KARTHIK K SRINIVASAN,
CE5830,B ,Traffic Engg & Management,9,Yes,SI,LELITHA DEVI,NIL
CE6013,B ,River Engineering,9,Yes,SI,VENU CHANDRA,
CE6015,B ,Solid Waste Management,9,Yes,SI,INDUMATHI MANIVANNAN NAMBI; MOHANAKRISHNAN LOGAN,Nil
CH2012,B ,Continuum Mechanics & Transport Phenomena,10,No,,Swapna,
CH2014,B ,Fundamentals of Heat and Mass Transfer,10,No,,RENGANATHAN T,
CH3050,B ,Process Dynamics and Control,10,No,,ABHIJIT DESHPANDE P; PARUL VERMA,"Basics of differential calculus, complex number theory and linear algebra."
CH5011,B ,Colloids and Surfaces,9,Yes,SI,ETHAYARAJA MANI,
CH5050,B ,Advanced Chemical Engg Thermodynamics,10,No,,Tarak K Patra,NIL
CS1200,B ,Discrete Mathematics for Computer Science,10,Yes,CG,RAGHAVENDRA RAO B V,
CS2200,B ,Language Machines and Computations ,10,Yes,CG,Shweta Agrawal,NIL
CS2700,B ,Programming and Data Structures,10,No,,MANIKANDAN; RAGHAVENDRA RAO B V,"CS1100, CS1200"
CS3300,B ,Compiler Design,15,Yes,CG,RUPESH NASRE,
CS3500,B ,Operating Systems,15,Yes,CG,Chester Rebeiro,
CV2070,B ,Hydraulics and Water Resources Engineering ,12,Yes,SI,SOUMENDRA NATH KUIRY; VENU CHANDRA,Solid and Fluids Mechanics
CV5107,B ,STRUCTURAL DYNAMICS,9,No,,SUDHEENDRA HERKAL,
CY5013,B ,Conceptual Organic Chemistry,9,No,,BEERAIAH BAIRE; MURALEEDHARAN K M; SEKAR G,COT
CY5014,B ,Reactive Intermediates and Concerted Reactions,9,No,,ANBARASAN P; SANKARARAMAN S,NIL
CY6017,B ,Optical and Magnetic Resonance Spectroscopy,9,No,,KRISHNA REDDY NANDIPATI; MANGALA SUNDER K,COT
CY6104,B ,Molecular Clusters,9,No,,SUNDARGOPAL GHOSH,COT
CY6121,B ,Advanced Electronic Structure and Density Functional Theories for Molecules,9,No,,SOUMEN GHOSH,CY5017 and CY5018
DA2102,B ,Introduction to Computational Biology,9,No,,NIRAV PRAVINBHAI BHATT,
ED1011,B ,Functional and Conceptual Design,9,No,,ASOKAN THONDIYATH,
ED2130,B ,Analog and Digital Electronics,13,Yes,SI,TUHIN SUBHRA SANTRA,EE1101
ED4040,B ,Design of Thermal and Fluid Systems,15,Yes,SI,SRIKANTH VEDANTAM,Nil
ED5015,B ,Computational Methods in Design,10,Yes,SI,PALANIAPPAN RAMU,Nil
ED5330,B ,Control of Automotive Systems,9,No,,ATRIYA BISWAS,"ED2040, ED5160, ED5220"
ED5330,B ,Control of Automotive Systems,9,Yes,SI,Srikanthan Sridharan,"ED2040, ED5160, ED5220"
ED6001,B ,Medical Image Analysis,12,Yes,SI,GANAPATHY KRISHNAMURTHI; NARESH KUMAR R,
EE2002,B ,Digital Systems,10,No,,ANANTH KRISHNAN; SRIDHARAN  K; Shivananju,
EE2016,B ,Microprocessor Theory+Lab,11,No,,MANIVASAKAN R; VENKATESH T G,EE2001
EE2016,B ,Microprocessor Theory+Lab,12,No,,MANIVASAKAN R; SRIDHARAN  K,EE2001
EE5110,B ,Probability Foundations for Electrical Engineers,12,No,,MANIVASAKAN R,
EE5175,B ,Image Signal Processing,12,Yes,ST,RAJAGOPALAN A N,
EE5176,B ,Computational Photography,12,Yes,ST,KAUSHIK MITRA,EE5175 or instructor's consent
EE5312,B ,VLSI Technology,12,Yes,ST,NANDITA DAS GUPTA,EE3301
EE5411,B ,Synthesis of Control Systems,12,Yes,ST,BHARATH BHIKKAJI; RAMKRISHNA PASUMARTHY,Control Engineering
EE5504,B ,Fiber Optic Communication Technology,12,Yes,ST,DEEPA VENKITESH,Undergraduate-level course in electro-magnetics or optics
EE6200,B ,Power Electronic Control of Electric Machines,9,Yes,ST,SRIRAMA SRINIVAS,POWER ELECTRONICS for BTech/DD students
EE6321,B ,VLSI Data Conversion Circuits,12,Yes,ST,SHANTHI PAVAN,
EE6324,B ,Phase-Locked Loops,12,No,,Saurabh Saxena,EE3002
EE6408,B ,Non-invasive Sensing & Signal Processing for Human Health,12,No,,Jayaraj,"Undergraduate level skills in electronics, analog circuits, signal
processing in Matlab/Lab VIEW
• Exposure to biomedical instrumentation / engineering (preferred)"
EE6408,B ,Non-invasive Sensing & Signal Processing for Human Health,12,Yes,ST,Jayaraj,"Undergraduate level skills in electronics, analog circuits, signal
processing in Matlab/Lab VIEW
• Exposure to biomedical instrumentation / engineering (preferred)"
EP2110,B ,Introduction to Mathematical Physics,10,Yes,SI,DAWOOD KOTHAWALA; JIM LIBBY,
EP2210,B ,Principles of Quantum Mechanics,9,Yes,SI,JIM LIBBY,
EP3120,B ,Statistical Physics and   Applications,9,No,,DILLIP KUMAR SATAPATHY; SUNIL KUMAR P B,
HS3017,B ,Introduction to Linguistics,9,Yes,SI,Anindita Sahoo,
HS3021,B ,Macroeconomics,10,Yes,SI,KALAIYARASAN A,
HS5060,B ,Technology & Sustainable Development ,10,Yes,SI,SUDHIR CHELLA RAJAN,
HS5340,B ,"Money, Banking and Financial Markets",12,Yes,SI,PRAMOD KUMAR NAIK,
HS5502,B ,"Climate Change, Technology and Sustainable Development",10,Yes,SI,SUDHIR CHELLA RAJAN,
HS5604,B ,Indian Classics in Context,10,Yes,SI,SREENATH V S,
HS5605,B ,LANGUAGE AND SOCIETY,10,Yes,SI,Anindita Sahoo; RAJESH KUMAR,
HS5607,B ,Victorian Realism,10,Yes,SI,A Divya,
HS5620,B ,American Literature,10,Yes,SI,MERIN SIMI RAJ,
HS5704,B ,History of Economic Thought,10,Yes,SI,SANDEEP KUMAR KUJUR,
HS5707,B ,Macroeconomics 2,10,No,,PRAMOD KUMAR NAIK,Macroeconomics 1
HS5710,B ,Econometrics 2,10,Yes,SI,SABUJ KUMAR MANDAL,Econometrics 1
HS5812,B ,Feminist Writing ,12,Yes,SI,Avishek Parui,
ID5040,B ,Engineering Plasticity,9,Yes,CG,SHYAM KERALAVARMA,Nil
MA1101,B ,Functions of Several Variables,10,No,,ANOOP; ARYA KUMAR BEDABRATA CHAND; BALAJI R; KALPANA M; NARAYANAN N; RAMA R,
MA1101*,B ,Calculus,10,No,,ANOOP; ANUJ JAKHAR; ARYA KUMAR BEDABRATA CHAND; KALPANA M; RADHA R; Ramesh Kasilingam; SATHISH KUMAR A; SRIRAM B; SUHAS JAYKUMAR PANDIT; Santanu Sarkar,
